,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
0,Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,A+,A+,A+,A-,B,A,A+,A+,A,B,A+,B,"MIT is an elite private college located in Cambridge, Massachusetts in the Boston Area. It is a small institution with an enrollment of 4,510 undergraduate students. Admissions is extremely competitive as the MIT acceptance rate is only 7%. Popular majors include Computer Science, Mechanical Engineering, and Mathematics. Graduating 94% of students, MIT alumni go on to earn a starting salary of $79,800.",77 Massachusetts Avenue,Cambridge,MA,2139,7%,1490-1570,33-35,$75 ,"$22,230 ",Computer Science; Mechanical Engineering; Mathematics; Electrical Engineering; Physics; Aerospace Engineering; Chemical Engineering; Bioengineering and Biomedical Engineering; Biology; Materials Engineering; ,7%,"20,247",1490-1570,720-770,770-800,72%
1,Stanford University,https://www.niche.com/colleges/stanford-university/,A+,A+,A+,A+,A+,B+,A+,B,A,A,A+,B-,"Stanford is an elite private university located in Stanford, California in the San Francisco Bay Area. It is a mid-size institution with an enrollment of 7,064 undergraduate students. Admissions is extremely competitive as the Stanford acceptance rate is only 5%. Popular majors include Computer Science, Biology, and Engineering. Graduating 94% of students, Stanford alumni go on to earn a starting salary of $71,800.",450 Serra Mall,Stanford,CA,94305,5%,1390-1540,32-35,$90 ,"$16,562 ",Computer Science; Biology; Engineering; Liberal Arts and Humanities; Mechanical Engineering; Economics; Cognitive Science; Psychology; Electrical Engineering; International Relations; ,5%,"44,073",1390-1540,690-760,700-780,78%
2,Harvard University,https://www.niche.com/colleges/harvard-university/,A+,A+,A+,A,B+,A,A+,A+,A,B+,A+,B,"Harvard is an elite private university located in Cambridge, Massachusetts in the Boston Area. It is a mid-size institution with an enrollment of 7,147 undergraduate students. Admissions is extremely competitive as the Harvard acceptance rate is only 5%. Popular majors include Economics, Computer Science, and History. Graduating 96% of students, Harvard alumni go on to earn a starting salary of $69,700.",Massachusetts Hall,Cambridge,MA,2138,5%,1460-1590,32-35,$75 ,"$17,030 ",Economics; Computer Science; History; Political Science and Government; Social Science Research Methods; Research and Experimental Psychology; Public Health; Statistics; Ecology and Evolutionary Biology; Computational and Applied Mathematics; ,5%,"39,506",1460-1590,730-790,730-800,67%
3,Yale University,https://www.niche.com/colleges/yale-university/,A+,A+,A+,A+,A-,A,A+,B+,A+,A,A+,C,"Yale is an elite private university located in New Haven, Connecticut. It is a mid-size institution with an enrollment of 5,743 undergraduate students. Admissions is extremely competitive as the Yale acceptance rate is only 7%. Popular majors include Economics, Political Science and Government, and History. Graduating 97% of students, Yale alumni go on to earn a starting salary of $60,700.",38 Hillhouse Ave,New Haven,CT,6520,7%,1460-1580,32-35,$80 ,"$18,053 ",Economics; Political Science and Government; History; English; Cellular Biology; Liberal Arts and Humanities; Psychology; Information Science; International Relations; North American Studies; ,7%,"32,879",1460-1580,730-780,730-800,61%
4,Princeton University,https://www.niche.com/colleges/princeton-university/,A+,A+,A+,A-,A-,B,A+,B-,A-,A,A+,B+,"Princeton is an elite private university located in Princeton, New Jersey. It is a mid-size institution with an enrollment of 5,260 undergraduate students. Admissions is extremely competitive as the Princeton acceptance rate is only 6%. Popular majors include Computer Hardware Engineering, Economics, and Public Policy Analysis. Graduating 97% of students, Princeton alumni go on to earn a starting salary of $58,300.",1 Nassau Hall,Princeton,NJ,8544,6%,1430-1570,31-35,$65 ,"$16,302 ",Computer Hardware Engineering; Economics; Public Policy Analysis; History; Political Science and Government; Engineering; Biochemistry and Molecular Biology; Ecology and Evolutionary Biology; English; Research and Experimental Psychology; ,6%,"31,056",1430-1570,710-780,720-790,65%
5,University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/,A+,A+,A,A,B+,A+,A+,A+,B-,B,A+,B,"Penn is an elite private university located in Philadelphia, Pennsylvania. It is a large institution with an enrollment of 10,496 undergraduate students. Admissions is extremely competitive as the Penn acceptance rate is only 9%. Popular majors include Finance, Nursing, and Economics. Graduating 96% of students, Penn alumni go on to earn a starting salary of $67,500.",34th & Spruce Street,Philadelphia,PA,19104,9%,1420-1560,32-35,$75 ,"$24,539 ",Finance; Nursing; Economics; Business; Political Science and Government; Biology; Philosophy; Operations Management; History; Information Science; ,9%,"40,413",1420-1560,700-770,720-790,46%
6,Columbia University,https://www.niche.com/colleges/columbia-university/,A+,A+,A+,A,B+,A,A+,A+,A-,A,A+,B,"Columbia is an elite private university located in Manhattan, New York in the New York City Area. It is a mid-size institution with an enrollment of 7,592 undergraduate students. Admissions is extremely competitive as the Columbia acceptance rate is only 7%. Popular majors include Economics, Computer Science, and Political Science and Government. Graduating 95% of students, Columbia alumni go on to earn a starting salary of $65,100.",West 116 St and Broadway,New York,NY,10027,7%,1410-1570,31-34,$85 ,"$22,824 ",Economics; Computer Science; Political Science and Government; Research and Experimental Psychology; History; Biology; Engineering; English; Philosophy; Mathematics; ,7%,"38,118",1410-1570,700-780,710-790,59%
7,Duke University,https://www.niche.com/colleges/duke-university/,A+,A+,A,A,A+,A-,A+,B-,B+,A,A+,C+,"Duke is an elite private university located in Durham, North Carolina in the Raleigh Area. It is a mid-size institution with an enrollment of 6,669 undergraduate students. Admissions is extremely competitive as the Duke acceptance rate is only 10%. Popular majors include Economics, Computer Science, and Public Policy Analysis. Graduating 95% of students, Duke alumni go on to earn a starting salary of $68,800.",2138 Campus Drive,Durham,NC,27708,10%,1380-1540,31-35,$85 ,"$22,011 ",Economics; Computer Science; Public Policy Analysis; Biology; Nursing; Bioengineering and Biomedical Engineering; Political Science and Government; Psychology; Electrical Engineering; Mechanical Engineering; ,10%,"33,077",1380-1540,670-750,710-790,31%
8,Brown University,https://www.niche.com/colleges/brown-university/,A+,A+,A+,A-,B+,A,A+,A,B,B+,A+,B-,"Brown is an elite private university located in Providence, Rhode Island. It is a mid-size institution with an enrollment of 6,666 undergraduate students. Admissions is extremely competitive as the Brown acceptance rate is only 8%. Popular majors include Biology, Economics, and Computer Science. Graduating 95% of students, Brown alumni go on to earn a starting salary of $49,600.",One Prospect Street,Providence,RI,2912,8%,1400-1570,31-35,$75 ,"$25,651 ",Biology; Economics; Computer Science; Computational and Applied Mathematics; Engineering; Entrepreneurship; Neuroscience and Neurobiology; History; International Relations; Political Science and Government; ,8%,"32,723",1400-1570,700-780,700-790,55%
9,California Institute of Technology,https://www.niche.com/colleges/california-institute-of-technology/,A+,A+,A,B+,B-,B,A+,A-,A-,B,A,B,"Caltech is an elite private college located in Pasadena, California in the Los Angeles Area. It is a small institution with an enrollment of 961 undergraduate students. Admissions is extremely competitive as the Caltech acceptance rate is only 8%. Popular majors include Computer Science, Mechanical Engineering, and Physics. Graduating 89% of students, Caltech alumni go on to earn a starting salary of $65,100.",1200 E California Blvd,Pasadena,CA,91125,8%,1530-1590,34-35,$75 ,"$24,466 ",Computer Science; Mechanical Engineering; Physics; Chemistry; Electrical Engineering; Computational and Applied Mathematics; Chemical Engineering; Mathematics; Bioengineering and Biomedical Engineering; Biology; ,8%,"7,339",1530-1590,750-790,780-800,65%
10,Rice University,https://www.niche.com/colleges/rice-university/,A+,A+,A+,A+,A,A-,A+,B+,A+,A+,A+,B-,"Rice is a highly rated private university located in Houston, Texas. It is a small institution with an enrollment of 3,916 undergraduate students. Admissions is competitive as the Rice acceptance rate is 16%. Popular majors include Economics, Information Science, and Chemical Engineering. Graduating 91% of students, Rice alumni go on to earn a starting salary of $54,200.",6100 S Main St,Houston,TX,77005,16%,1490-1580,33-35,$75 ,"$24,131 ",Economics; Information Science; Chemical Engineering; Biochemistry and Molecular Biology; Mechanical Engineering; Kinesiology and Exercise Science; Cognitive Science; Psychology; Sport and Fitness Management; Architecture; ,16%,"18,063",1490-1580,730-780,760-800,60%
11,University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,A+,A+,A-,A+,A+,A-,A+,C,A,A+,A+,B,"Notre Dame is a highly rated private, Catholic university located in Portage Township, Indiana in the South Bend Area. It is a mid-size institution with an enrollment of 8,557 undergraduate students. Admissions is competitive as the Notre Dame acceptance rate is 19%. Popular majors include Finance, Accounting, and Economics. Graduating 95% of students, Notre Dame alumni go on to earn a starting salary of $56,800.",400 Main Building,Notre Dame,IN,46556,19%,1370-1520,32-34,$75 ,"$27,453 ",Finance; Accounting; Economics; Political Science and Government; Mathematics; Pre-Medicine Studies; Psychology; Mechanical Engineering; Marketing; Chemical Engineering; ,19%,"19,564",1370-1520,680-750,690-770,36%
12,Northwestern University,https://www.niche.com/colleges/northwestern-university/,A+,A+,A,A,A,A-,A+,A,B,B,A+,B,"Northwestern is an elite private university located in Evanston, Illinois in the Chicago Area. It is a mid-size institution with an enrollment of 8,205 undergraduate students. Admissions is extremely competitive as the Northwestern acceptance rate is only 9%. Popular majors include Economics, Communications, and Psychology. Graduating 94% of students, Northwestern alumni go on to earn a starting salary of $57,300.",633 Clark St,Evanston,IL,60208,9%,1420-1560,32-34,$75 ,"$26,099 ",Economics; Communications; Psychology; Journalism; Political Science and Government; Biology; Industrial Engineering; Radio and Television; Mechanical Engineering; Drama and Theatre Production; ,9%,"37,259",1420-1560,700-770,720-790,35%
