,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
0,Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/admissions,7%,"20,247",1490-1570,720-770,770-800,72%,33-35,34-36,34-36,10-Aug,55%
1,Stanford University,https://www.niche.com/colleges/stanford-university/admissions,5%,"44,073",1390-1540,690-760,700-780,78%,32-35,33-36,30-35, ,61%
2,Harvard University,https://www.niche.com/colleges/harvard-university/admissions,5%,"39,506",1460-1590,730-790,730-800,67%,32-35,34-36,31-35,10-Aug,53%
3,Yale University,https://www.niche.com/colleges/yale-university/admissions,7%,"32,879",1460-1580,730-780,730-800,61%,32-35,34-36,31-35, ,57%
4,Princeton University,https://www.niche.com/colleges/princeton-university/admissions,6%,"31,056",1430-1570,710-780,720-790,65%,31-35,33-35,30-35,10-Aug,54%
5,University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/admissions,9%,"40,413",1420-1560,700-770,720-790,46%,32-35,33-35,30-35,10-Aug,54%
6,Columbia University,https://www.niche.com/colleges/columbia-university/admissions,7%,"38,118",1410-1570,700-780,710-790,59%,31-34,33-35,29-35,10-Aug,57%
7,Duke University,https://www.niche.com/colleges/duke-university/admissions,10%,"33,077",1380-1540,670-750,710-790,31%,31-35,32-35,30-35,10-Aug,70%
8,Brown University,https://www.niche.com/colleges/brown-university/admissions,8%,"32,723",1400-1570,700-780,700-790,55%,31-35,32-35,29-35, ,61%
9,California Institute of Technology,https://www.niche.com/colleges/california-institute-of-technology/admissions,8%,"7,339",1530-1590,750-790,780-800,65%,34-35,34-36,35-36,10-Aug,56%
10,Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/admissions,16%,"30,463",1470-1570,720-770,750-800,22%,32-34,33-35,31-35,10-Aug,81%
11,Rice University,https://www.niche.com/colleges/rice-university/admissions,16%,"18,063",1490-1580,730-780,760-800,60%,33-35,33-35,31-35,10-Aug,70%
12,University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/admissions,19%,"19,564",1370-1520,680-750,690-770,36%,32-34, , , ,78%
13,Northwestern University,https://www.niche.com/colleges/northwestern-university/admissions,9%,"37,259",1420-1560,700-770,720-790,35%,32-34,32-34,32-34,10-Aug,77%
14,University of Chicago,https://www.niche.com/colleges/university-of-chicago/admissions,8%,"27,694",1480-1580,730-780,750-800,47%,32-35,33-35,31-35, ,67%
15,Pomona College,https://www.niche.com/colleges/pomona-college/admissions,8%,"9,045",1370-1530,690-760,680-770,52%,30-34,32-35,28-34, ,66%
16,Bowdoin College,https://www.niche.com/colleges/bowdoin-college/admissions,14%,"7,251",1360-1510,670-760,670-760,53%,31-33,31-35,29-34,10-Aug,27%
17,Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/admissions,11%,"31,462",1440-1570,710-770,730-800,34%,32-35,33-35,30-35,10-Aug,74%
18,Dartmouth College,https://www.niche.com/colleges/dartmouth-college/admissions,10%,"20,035",1430-1560,710-770,720-790,52%,30-34,32-35,29-35, ,48%
19,University of Southern California,https://www.niche.com/colleges/university-of-southern-california/admissions,17%,"56,676",1300-1500,650-730,650-770,55%,30-34,30-35,28-34, ,61%
20,Cornell University,https://www.niche.com/colleges/cornell-university/admissions,13%,"47,039",1390-1550,690-760,700-790,64%,31-34,32-35,30-35, ,56%
21,Georgetown University,https://www.niche.com/colleges/georgetown-university/admissions,16%,"21,462",1350-1520,680-760,670-760,68%,30-34,31-35,28-34, ,55%
22,University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/admissions,27%,"59,886",1330-1500,660-730,670-770,53%,30-33,30-35,28-34,9-Aug,76%
23,Amherst College,https://www.niche.com/colleges/amherst-college/admissions,13%,"9,285",1400-1560,700-770,700-790,33%,32-34,33-35,29-34, ,67%
24,Tufts University,https://www.niche.com/colleges/tufts-university/admissions,15%,"21,101",1410-1540,700-760,710-780,34%,31-34, , , ,66%
25,Johns Hopkins University,https://www.niche.com/colleges/johns-hopkins-university/admissions,13%,"27,156",1450-1570,720-770,730-800,43%,33-35,33-35,31-35,10-Aug,56%
