,Name,Link,Livability,Amenities,Cost of Living,Crime,Employment,Housing,Schools,Weather,Population,Median home value,Cost_of_Living_Info,Crime_Info,Employment_Info,Housing_Info,Schools_Info
0,Berkeley,https://www.areavibes.com/berkeley-ca/livability/,66,A+,F,F,B-,D,B-,B+," 118,585"," $795,200",Cost of living is 37% higher than California,Total crime is 85% higher than California,Household income is 10% higher than California,Home value is 94% higher than California,HS graduation rate is 19% higher than California
1,Ruston,https://www.areavibes.com/ruston-la/livability/,67,A+,B-,F,F,F,A-,C+," 22,245"," $163,600",Cost of living is equal to Louisiana,Total crime is 4% lower than Louisiana,Household income is 42% lower than Louisiana,Home value is 10% higher than Louisiana,HS graduation rate is 5% higher than Louisiana
2,Longview,https://www.areavibes.com/longview-tx/livability/,79,A+,B+,F,D,C,A-,B," 82,184"," $129,900",Cost of living is 4% lower than Texas,Total crime is 29% higher than Texas,Household income is 19% lower than Texas,Home value is 9% lower than Texas,HS graduation rate is 1% higher than Texas
3,Northfield,https://www.areavibes.com/northfield-mn/livability/,81,A+,D+,A+,C,B,A,F," 20,405"," $196,400",Cost of living is equal to Minnesota,Total crime is 55% lower than Minnesota,Household income is 5% lower than Minnesota,Home value is 3% higher than Minnesota,HS graduation rate is 2% higher than Minnesota
4,Irving,https://www.areavibes.com/irving-tx/livability/,86,A+,C+,B-,D+,A+,A-,B," 232,013"," $147,500",Cost of living is 6% higher than Texas,Total crime is 8% lower than Texas,Household income is equal to Texas,Home value is 3% higher than Texas,HS graduation rate is 1% lower than Texas
5,Hattiesburg,https://www.areavibes.com/hattiesburg-ms/livability/,64,A+,A-,D,F,F,F,B," 46,846"," $109,500",Cost of living is 2% lower than Mississippi,Total crime is 58% higher than Mississippi,Household income is 24% lower than Mississippi,Home value is 4% higher than Mississippi,HS graduation rate is 6% higher than Mississippi
6,Louisville,https://www.areavibes.com/louisville-ky/livability/,67,A+,B-,F,D,C-,F,C," 611,573"," $143,100",Cost of living is 3% higher than Kentucky,Total crime is 103% higher than Kentucky,Household income is 5% higher than Kentucky,Home value is 13% higher than Kentucky,HS graduation rate is 6% higher than Kentucky
7,Houghton,https://www.areavibes.com/houghton-mi/livability/,74,A+,B,A,D-,F,A-,F," 7,924"," $138,500",Cost of living is 2% higher than Michigan,Total crime is 8% lower than Michigan,Household income is 44% lower than Michigan,Home value is 8% higher than Michigan,HS graduation rate is 7% higher than Michigan
8,Brookings,https://www.areavibes.com/brookings-sd/livability/,80,A+,B,A,C-,B-,B,F," 23,292"," $164,500",Cost of living is 3% higher than South Dakota,Total crime is 37% lower than South Dakota,Household income is 10% lower than South Dakota,Home value is 12% higher than South Dakota,HS graduation rate is 8% higher than South Dakota
9,Appleton,https://www.areavibes.com/appleton-wi/livability/,77,A+,B,B,C,C-,C,F," 73,446"," $137,800",Cost of living is 7% lower than Wisconsin,Total crime is 15% lower than Wisconsin,Household income is 1% lower than Wisconsin,Home value is 17% lower than Wisconsin,HS graduation rate is 2% higher than Wisconsin
10,Tulsa,https://www.areavibes.com/tulsa-ok/livability/,69,A+,B-,F,D+,C,C,C+," 399,906"," $126,200",Cost of living is 6% higher than Oklahoma,Total crime is 95% higher than Oklahoma,Household income is 10% lower than Oklahoma,Home value is 4% higher than Oklahoma,HS graduation rate is 1% higher than Oklahoma
11,Valparaiso,https://www.areavibes.com/valparaiso-in/livability/,78,A+,D,A,D+,F,A+,D," 32,271"," $170,500",Cost of living is 18% higher than Indiana,Total crime is 41% lower than Indiana,Household income is 2% lower than Indiana,Home value is 35% higher than Indiana,HS graduation rate is 9% higher than Indiana
12,Boston,https://www.areavibes.com/boston-ma/livability/,61,A+,F,F,C,D,C-,D+," 658,279"," $423,200",Cost of living is 13% higher than Massachusetts,Total crime is 54% higher than Massachusetts,Household income is 18% lower than Massachusetts,Home value is 24% higher than Massachusetts,HS graduation rate is 5% lower than Massachusetts
13,Carlisle,https://www.areavibes.com/carlisle-pa/livability/,75,A+,C,A-,D,F,B+,C-," 19,014"," $167,900",Cost of living is 1% lower than Pennsylvania,Total crime is 7% higher than Pennsylvania,Household income is 14% lower than Pennsylvania,Home value is equal to Pennsylvania,HS graduation rate is 2% lower than Pennsylvania
14,Klamath Falls,https://www.areavibes.com/klamath+falls-or/livability/,64,A+,C+,F,F,D,F,D," 21,322"," $139,300",Cost of living is 14% lower than Oregon,Total crime is 9% higher than Oregon,Household income is 31% lower than Oregon,Home value is 44% lower than Oregon,HS graduation rate is 9% lower than Oregon
